dt = 2017-04-29 12:07:51.396669 | collection_name = sessions | key = inline_state | new_value = show_wanted_shuttle | filter_options = {'chat_id': 102123889}
dt = 2017-04-29 12:07:55.936736 | collection_name = sessions | key = inline_state | new_value = show_wanted_shuttle | filter_options = {'chat_id': 223049786}
dt = 2017-04-29 12:07:56.054889 | collection_name = sessions | key = going_shuttles | new_value = [{'last_time': '15:07 29. | filter_options = {'chat_id': 223049786}
dt = 2017-04-29 12:07:56.057082 | collection_name = sessions | key = inline_state | new_value = choose_your_shuttle | filter_options = {'chat_id': 223049786}
dt = 2017-04-29 12:07:56.492869 | collection_name = sessions | key = inline_state | new_value = show_wanted_shuttle | filter_options = {'chat_id': 223049786}
dt = 2017-04-29 12:07:56.646756 | collection_name = sessions | key = inline_state | new_value = show_wanted_shuttle | filter_options = {'chat_id': 223049786}
dt = 2017-04-29 12:07:56.991564 | collection_name = sessions | key = inline_state | new_value = show_wanted_shuttle | filter_options = {'chat_id': 223049786}
dt = 2017-04-29 12:07:57.444543 | collection_name = sessions | key = inline_state | new_value = show_wanted_shuttle | filter_options = {'chat_id': 102123889}
dt = 2017-04-29 12:07:59.874607 | collection_name = sessions | key = going_shuttles | new_value = [{'last_time': '15:07 29. | filter_options = {'chat_id': 102123889}
dt = 2017-04-29 12:07:59.879201 | collection_name = sessions | key = inline_state | new_value = choose_your_shuttle | filter_options = {'chat_id': 102123889}
dt = 2017-04-29 12:08:02.995701 | collection_name = sessions | key = wanted_shuttle_id | new_value = 201294759 | filter_options = {'chat_id': 102123889}
dt = 2017-04-29 12:08:03.003157 | collection_name = sessions | key = inline_state | new_value = show_wanted_shuttle | filter_options = {'chat_id': 102123889}
